dates,78 cv,105 cv,120 cv,85 cv,155 cv,135 cv,170 cv,95 cv,90 cv
2019-05-01,6740.0,9900.0,6603.333333333333,9980.0,6490.0,7790.0,8818.0,7990.0,6990.0
2019-08-01,7490.0,6190.0,6384.761904761905,6700.0,6095.0,6594.0,8843.636363636364,7490.0,6490.0
2019-10-01,9985.0,8990.0,6353.038461538462,7490.0,6298.0,6930.0,,8490.0,6093.333333333333
2019-11-01,6990.0,5875.0,,7342.5,,7183.1578947368425,,6490.0,6238.777777777777
2019-12-01,8160.0,7154.058823529412,,,,,,6211.875,5514.3125
2020-01-01,7490.0,6577.393939393939,,,,,,6174.125,
2020-02-01,6990.0,,,,,,,5981.756097560976,
2020-03-01,4644.5,,,,,,,,
2020-05-01,6673.7692307692305,,,,,,,,
2020-06-01,6399.56,,,,,,,,
2020-07-01,5734.981481481482,,,,,,,,
