dates,81 cv,82 cv,110 cv,92 cv,95 cv,115 cv,150 cv
2018-09-01,15500.0,11740.0,13400.714285714286,12600.0,16990.0,15830.0,17990.0
2018-11-01,19500.0,11995.0,,2790.0,12970.0,,
2019-07-01,13990.0,11895.0,,,12890.0,,
2019-09-01,15144.5,,,,12900.0,,
2019-10-01,12900.0,,,,,,
2019-11-01,15890.0,,,,,,
2019-12-01,14840.0,,,,,,
2020-01-01,13222.0,,,,,,
2020-02-01,15632.0,,,,,,
2020-03-01,17065.0,,,,,,
2020-04-01,20417.14285714286,,,,,,
2020-05-01,15691.538461538461,,,,,,
2020-06-01,14379.555555555555,,,,,,
2020-07-01,13267.8,,,,,,
