dates,114 cv,116 cv,150 cv,82 cv,110 cv,81 cv
2019-06-01,12990.0,18586.666666666668,34700.0,12300.0,14990.0,16790.0
2019-07-01,15990.0,19988.0,33300.0,,,
2019-10-01,15337.5,20407.297297297297,,,,
2019-11-01,16392.0,19026.57894736842,,,,
2019-12-01,16315.0,18370.85106382979,,,,
2020-01-01,15654.75,17416.190476190477,,,,
2020-02-01,16785.30769230769,,,,,
2020-03-01,17379.625,,,,,
2020-04-01,17984.5225,,,,,
2020-05-01,17521.08597285068,,,,,
2020-06-01,17463.368852459018,,,,,
2020-07-01,16869.335616438355,,,,,
