dates,140 cv,125 cv,90 cv,100 cv,110 cv,112 cv
2019-06-01,17173.75,12900.0,18900.0,19900.0,11900.0,12372.0
2019-07-01,12000.0,9900.0,21500.0,16990.0,,12990.0
2019-08-01,12750.0,12900.0,14900.0,16626.666666666668,,
2019-09-01,,16648.571428571428,13525.0,15798.666666666666,,
2019-10-01,,17200.5,16662.85714285714,,,
2019-11-01,,14220.32142857143,16611.25,,,
2019-12-01,,16625.0,15290.0,,,
2020-01-01,,,16656.666666666668,,,
2020-02-01,,,16892.5,,,
2020-03-01,,,16882.5,,,
2020-04-01,,,16695.0,,,
2020-05-01,,,16095.833333333334,,,
2020-06-01,,,16417.369565217392,,,
2020-07-01,,,17451.11111111111,,,
