dates,125 cv,82 cv,100 cv,80 cv,85 cv,140 cv,64 cv,59 cv,60 cv,182 cv,95 cv,75 cv,120 cv,90 cv
2019-03-01,17000.0,9990.0,14917.5,8790.0,16480.0,14990.0,11950.0,13895.0,9200.0,15990.0,10880.0,8952.0,16000.0,14000.0
2019-05-01,9990.0,9400.0,13990.0,9500.0,13290.0,14900.0,9790.0,18480.0,10266.666666666666,,17770.0,9333.333333333334,16690.0,
2019-07-01,15970.0,9423.333333333334,15200.0,,11390.0,14594.0,,18480.0,,,10900.0,10933.333333333334,,
2019-09-01,15200.0,9267.894736842105,15990.0,,11989.5,,,13800.0,,,,,,
2019-10-01,13208.0,,15072.5,,11990.0,,,12697.5,,,,,,
2019-11-01,,,14400.0,,10690.0,,,14050.0,,,,,,
2019-12-01,,,13490.0,,11677.272727272728,,,14615.0,,,,,,
2020-01-01,,,12548.5,,11539.421052631578,,,13490.0,,,,,,
2020-02-01,,,12837.08064516129,,,,,13203.25,,,,,,
2020-03-01,,,14721.16,,,,,12093.333333333334,,,,,,
2020-04-01,,,,,,,,12685.0,,,,,,
2020-05-01,,,,,,,,13990.0,,,,,,
2020-06-01,,,,,,,,12210.725,,,,,,
2020-07-01,,,,,,,,12645.0,,,,,,
