dates,550 cv,249 cv,510 cv,339 cv,340 cv
2019-03-01,79990.0,23490.0,49450.0,56999.0,56990.0
2019-04-01,85900.0,63999.0,49900.0,54990.0,49500.0
2019-05-01,81566.66666666667,34990.0,,46590.0,68990.0
2019-07-01,,28499.0,,60445.0,49900.0
2019-08-01,,27990.0,,65900.0,47445.0
2019-09-01,,22990.0,,53930.0,
2019-10-01,,25990.0,,55263.333333333336,
2019-11-01,,33490.0,,60386.27272727273,
2019-12-01,,33900.0,,,
2020-01-01,,23388.0,,,
2020-02-01,,40467.5,,,
2020-03-01,,27992.85714285714,,,
2020-04-01,,22600.0,,,
2020-05-01,,27426.666666666668,,,
2020-06-01,,28028.387096774193,,,
2020-07-01,,31386.333333333332,,,
