dates,90 cv,100 cv,207 cv,95 cv,115 cv
2019-05-01,10990.0,13990.0,15490.0,10990.0,11500.0
2019-09-01,13890.0,16490.0,,11970.0,
2019-10-01,10732.5,12156.666666666666,,12690.0,
2019-11-01,11225.875,11494.0,,10900.0,
2019-12-01,11184.09090909091,11536.25,,10713.333333333334,
2020-01-01,10989.555555555555,11961.42857142857,,10026.666666666666,
2020-02-01,10861.066666666668,,,,
2020-03-01,10305.166666666666,,,,
2020-04-01,10910.0,,,,
2020-05-01,10776.486486486487,,,,
2020-06-01,10650.184210526315,,,,
