dates,100 cv,68 cv,82 cv,110 cv,75 cv,120 cv
2019-07-01,15490.0,15814.0,15490.0,18490.0,16800.0,26900.0
2019-10-01,17690.0,18490.0,13990.0,18670.0,21490.0,22500.0
2019-11-01,21990.0,20892.5,13648.0,18340.0,,24414.75
2019-12-01,21690.0,17917.0,13507.142857142857,17490.0,,24600.0
2020-01-01,21374.0,19312.0,,16628.333333333332,,
2020-02-01,21521.833333333332,22317.5,,18143.333333333332,,
2020-03-01,21337.5,17422.6,,16520.0,,
2020-04-01,,16640.0,,,,
2020-05-01,,17419.363636363636,,,,
2020-06-01,,17786.25,,,,
2020-07-01,,22120.0,,,,
