dates,245 cv,382 cv,420 cv,550 cv,500 cv,400 cv,300 cv,333 cv
2019-03-01,34900.0,41400.0,58780.0,66650.0,47990.0,53063.333333333336,27995.0,33945.0
2019-09-01,40850.0,41455.71428571428,55892.72727272727,67260.0,39900.0,37140.0,36000.0,
2019-10-01,42495.0,37528.0,49215.0,,39990.0,37097.142857142855,33322.5,
2019-12-01,26490.0,37940.71428571428,,,58867.5,,,
2020-01-01,35980.0,,,,42437.5,,,
2020-02-01,37463.333333333336,,,,36707.5,,,
2020-03-01,31495.0,,,,40265.71428571428,,,
2020-05-01,34921.72727272727,,,,,,,
2020-06-01,32839.913043478264,,,,,,,
2020-07-01,31732.852941176472,,,,,,,
