dates,420 cv,385 cv,245 cv,440 cv,570 cv,520 cv,340 cv,550 cv,300 cv,333 cv
2019-02-01,66990.0,64900.0,49800.0,93818.88888888889,91880.0,76840.0,71930.0,118800.0,38000.0,61890.0
2019-04-01,48300.0,53490.0,49900.0,67855.71428571429,87090.0,76160.0,,,,54957.5
2019-10-01,59990.0,74996.66666666667,59850.0,63480.0,93640.0,55990.0,,,,
2019-11-01,57612.22222222222,66634.70588235294,65390.0,62554.0,86325.0,61488.57142857143,,,,
2020-01-01,56904.09090909091,54722.5,54945.0,,,,,,,
2020-02-01,58500.0,52744.21428571428,70900.0,,,,,,,
2020-03-01,57366.294117647056,,37980.0,,,,,,,
2020-04-01,,,54231.666666666664,,,,,,,
2020-05-01,,,52113.63636363636,,,,,,,
2020-06-01,,,51367.27272727273,,,,,,,
2020-07-01,,,49266.21621621621,,,,,,,
