dates,160 cv,130 cv,110 cv,115 cv,95 cv
2019-04-01,28463.28205128205,19990.0,21518.227848101265,25867.960199004974,17800.0
2019-06-01,28230.29411764706,20490.0,20407.083333333332,25524.333333333332,18400.0
2019-07-01,27238.46153846154,23000.0,21277.5,23675.0,21900.0
2019-08-01,28895.757575757576,23592.5,21758.75,23905.0,18490.0
2019-09-01,26286.666666666668,22532.159763313608,19590.0,23460.0,18900.0
2019-10-01,,21731.555555555555,,,27345.0
2019-11-01,,21299.72972972973,,,17480.0
2019-12-01,,22142.268041237112,,,23590.0
2020-01-01,,20870.625,,,23132.0
2020-02-01,,,,,21448.0
2020-03-01,,,,,19090.0
2020-04-01,,,,,14085.0
2020-05-01,,,,,19409.04761904762
2020-06-01,,,,,22547.916666666668
2020-07-01,,,,,22997.555555555555
